pyrad_name,datatype_odim,field_name_odim
dBZ,DBZH,reflectivity
sigma_zh,DBZH_DEV,sigma_zh
dBuZ,TH,unfiltered_reflectivity
dBZc,DBZHC,corrected_reflectivity
dBuZc,THC,corrected_unfiltered_reflectivity
dBZv,DBZV,reflectivity_vv
dBZvc,DBZVC,corrected_reflectivity_vv
dBuZv,TV,unfiltered_reflectivity_vv
dBuZvc,TVC,corrected_unfiltered_reflectivity_vv
dBZ_bias,ZBIAS,reflectivity_bias
eta_h,etah,volumetric_reflectivity
eta_v,etav,volumetric_reflectivity_vv
rcs_h,RCSH,radar_cross_section_hh
rcs_v,RCSV,radar_cross_section_vv
VPRFEATURES,VPRFEATURES,vpr_features
ZDR,ZDR,differential_reflectivity
ZDRu,ZDRU,unfiltered_differential_reflectivity
ZDRc,ZDRC,corrected_differential_reflectivity
ZDRuc,ZDRUC,corrected_unfiltered_differential_reflectivity
ZDR_prec,ZDRPREC,differential_reflectivity_in_precipitation
ZDR_snow,ZDRSNOW,differential_reflectivity_in_snow
dBm,DBMH,signal_power_hh
dBmv,DBMV,signal_power_vv
Nh,NDBZH,noisedBZ_hh
Nv,NDBZV,noisedBZ_vv
SNR,SNRH,signal_to_noise_ratio
SNRh,SNRH,signal_to_noise_ratio_hh
SNRv,SNRV,signal_to_noise_ratio_vv
SQI,SQIH,normalized_coherent_power
SQIv,SQIV,normalized_coherent_power_vv
dBm_sun_hit,DBM_SUNHIT,sun_hit_power_h
dBmv_sun_hit,DBMV_SUNHIT,sun_hit_power_v
ZDR_sun_hit,ZDR_SUNHIT,sun_hit_differential_reflectivity
dBm_sun_est,DBM_SUNEST,sun_est_power_h
dBmv_sun_est,DBMV_SUNEST,sun_est_power_v
ZDR_sun_est,ZDR_SUNEST,sun_est_differential_reflectivity
sun_pos_h,POSH_SUNHIT,sun_hit_h
sun_pos_v,POSV_SUNHIT,sun_hit_v
sun_pos_zdr,POSZDR_SUNHIT,sun_hit_zdr
